Line Name,Measurement Type,Time,Value,Units
WT-R1,Optical Density,0,0.05,n/a
WT-R1,Optical Density,5,0.199080008,n/a
WT-R1,Optical Density,9,0.496909988,n/a
WT-R1,Optical Density,11.5,0.963800004,n/a
WT-R2,Optical Density,0,0.05,n/a
WT-R2,Optical Density,5,0.178540013,n/a
WT-R2,Optical Density,9,0.528509993,n/a
WT-R2,Optical Density,11.5,1.075190006,n/a
WT-R3,Optical Density,0,0.05,n/a
WT-R3,Optical Density,5,0.199080008,n/a
WT-R3,Optical Density,9,0.504810004,n/a
WT-R3,Optical Density,11.5,1.019890011,n/a