Pathway,Reaction Ids,Reaction,Location on map,13C Flux,13C Lower Bound,13C Upper Bound,FBA WT Flux,pFBA WT Flux
Substrate Uptake,PHEMOX,Phenol.ext -> AcCoA + SucCoA,"( 80, -450)",100.0,100.0,100.0,100.0,100.0
EMP Pathway,PGI,G6P <-> F6P,"(-150, 430)",-0.4793,-1.4219,0.9306,-1.8203720386793503,-1.8203720386793503
EMP Pathway,PFK or reverse_FBP,F6P + ATP -> FBP,"(-220, 195)",-2.0,-2.0,-0.7683,-13.964141176836415,-13.964141176836248
EMP Pathway,FBA,FBP <-> DHAP + GAP,"(-140, 115)",-2.0,-2.0,-0.7683,-13.964141176836415,-13.964141176836248
EMP Pathway,TPI,DHAP <-> GAP,"(-270, 150)",-2.0,-2.0,-0.7683,-19.630650422095762,-19.628209558881156
EMP Pathway,GAPD or reverse_GAPDi_nadp,"GAP <-> G1,3P","(-220, 30)",-10.7907,-11.2235,-9.104,-37.86342535957885,-37.86342535957841
EMP Pathway,reverse_PGK,"G1,3P <-> 3PG + ATP + NADH","(-220, -55)",-10.7907,-11.2235,-9.104,-37.86342535957885,-37.86342535957841
EMP Pathway,reverse_PGM,3PG <-> 2PG,"(-220, -135)",-16.2538,-16.9556,-13.6034,-46.344874446005306,-46.34487444599684
EMP Pathway,ENO,2PG <-> PEP,"(-220, -215)",-16.2538,-16.9556,-13.6034,-46.344874446005306,-46.34487444599684
EMP Pathway,ACMANApts or reverse_PPS or PYK or FRUptspp or MALTptspp or DHAPT or SUCpts or GLCptspp or MNLpts or FRUpts2pp or SBTpts or SUCptspp or GLCpts or ACGApts or FRUpts2 or GALpts or MALTpts or GLCADpts or MANptspp or FRUpts or ARBTpts or TREptspp or GALTpts or TREpts or ASCBpts or GAMpts or MANpts or ACGAptspp or FUCpts,PEP <-> Pyr + ATP,"(-220, -295)",29.9999,0.0,30.0,22.569974736578196,0.0
Pentose Phosphate Pathway,GND,6PG <-> Ru5P + CO2 + NADPH,"(275, 350)",0.4646,-1.6599,1.8755,0.0,0.0
Pentose Phosphate Pathway,RPE,Ru5P <-> X5P,"(380, 190)",-1.1874,-2.6115,-0.2468,-7.098136953367449,-7.098136953367282
Pentose Phosphate Pathway,reverse_RPI,Ru5P <-> R5P,"(270, 230)",1.6521,0.9081,2.1385,7.088373500509782,7.085932637295198
Pentose Phosphate Pathway,TKT2,X5P <-> TKC2 + GAP,"(270, 100)",-1.1874,-2.6115,-0.2468,-4.673583804456104,-4.673583804456021
Pentose Phosphate Pathway,TKT2,TKC2 + E4P <-> F6P,"(10, 280)",-1.1874,-1.909,-0.7099,-4.673583804456104,-4.673583804456021
Pentose Phosphate Pathway,TKT1,TKC2 + R5P <-> S7P,"(120, 230)",2.13e-14,-0.7076,0.4698,-2.4245531489113445,-2.4245531489112615
Pentose Phosphate Pathway,TALA,TAC3 + GAP <-> F6P,"(-70, 190)",7.109999999999999e-15,-0.7076,0.4698,-2.4245531489113445,-2.4245531489112615
Pentose Phosphate Pathway,TALA,S7P <-> TAC3 + E4P,"(50, 230)",8.53e-14,-0.7076,0.4698,-2.4245531489113445,-2.4245531489112615
ED Pathway,G6PDH2r and PGL,G6P <-> 6PG + NADPH,"(50, 380)",-0.5767,-2.0181,0.3824,0.0,0.0
ED Pathway,EDD,6PG <-> KDPG,"(-300, 350)",-1.0413,-2.5243,0.2447,0.0,0.0
ED Pathway,EDA,KDPG <-> Pyr + GAP,"(-300, 50)",-1.0413,-2.5243,0.2447,0.0,0.0
TCA Cycle,PDH,Pyr <-> AcCoA + CO2 + NADH,"(-220, -370)",59.2327,56.6826,62.0459,0.0,0.0
TCA Cycle,CS or reverse_CITL,OAC + AcCoA <-> Cit,"(-55, -340)",114.4391,110.2766,118.48,84.30414357024449,84.30414357025299
TCA Cycle,ACONT or ( ACONTa and ACONTb),Cit <-> ICit,"(145, -310)",114.4391,110.2766,118.48,84.30414357024449,84.30414357025299
TCA Cycle,ICDHx or ICDHyr,ICit <-> AKG + CO2 + NADPH,"(290, -310)",113.4677,106.8011,118.48,77.53756853625077,77.53756853624392
TCA Cycle,AKGDH or reverse_KGD2,AKG <-> SucCoA + CO2 + NADH,"(290, -195)",108.6053,101.7297,113.8305,66.98116568574031,66.98116568573346
TCA Cycle,SUCBZT2 or OCOAT1 or SUCBZT1 or reverse_SUCOAS or BZSCT or OCOAT4 or 3OADPCOAT,SucCoA <-> Suc + ATP,"(290, -55)",207.4789,200.562,212.7536,163.38794131601713,163.3879413160103
TCA Cycle,reverse_FRD3 or reverse_FRD2 or reverse_ASPO5 or reverse_FRD or SUCD1 or reverse_FRDx,Suc <-> Fum + FADH2,"(160, -55)",208.5767,203.2666,212.8305,173.75018158294844,173.75018158295694
TCA Cycle,FUM,Fum <-> Mal,"(10, -55)",209.6703,204.3514,213.8762,182.96451826601216,182.96451826602024
TCA Cycle,MDH or MDH2 or MDH3 or MDH3_1 or DMALRED,Mal <-> OAC + NADH,"(-60, -180)",171.0231,129.2999,174.5648,182.96451826601216,160.39454352943355
Glyoxylate Shunt,ICL,ICit -> Glyox + Suc,"(180, -140)",0.9714,7.109999999999999e-15,4.5567,6.766575033993718,6.766575034009074
Glyoxylate Shunt,MALS,Glyox + AcCoA -> Mal,"(90, -140)",0.9714,0.0,4.5567,0.0,0.0
Anaplerotic Reactions,PC or reverse_OAADC,Pyr + CO2 + ATP -> OAC,,1e-07,0.0,44.8577,0.0,0.0
Anaplerotic Reactions,ME1 or ME2,Mal -> Pyr + CO2 + NADH,,39.6187,37.0434,100.0,0.0,22.569974736586694
Anaplerotic Reactions,PPC or reverse_PEPCK_re,PEP + CO2 -> OAC,,48.9039,0.0,59.1635,-75.37541027083294,-52.80543553424628
Anaplerotic Reactions,PEPCK_re,OAC + ATP -> PEP + CO2,,97.7718,12.9269,100.0,75.37541027083294,52.80543553424628
Acetate Formation,BUTCT or A4HBCT or ACOXT or reverse_ACS or reverse_ACACCT,AcCoA <-> Ac + ATP,,-1.2344,-1.2951,-1.1565,-2.1388585499398913,0.0
Energy Reactions,reverse_NADTRHD,NADH <-> NADPH,,14.4316,1.1087,27.2447,0.0,0.0
Energy Reactions,ATPM,ATP -> ATP.ext,,680.0864,613.1475,787.5166,0.0,0.0
Transport,EX_co2_e,CO2 -> CO2.ext,,376.457,365.0427,386.6854,227.02633829397348,227.02633829397604
Transport,reverse_EX_o2_e,O2.ext -> O2,,433.6956,420.7564,445.9396,368.9917949549721,368.9917949549707
Transport,reverse_EX_so4_e,NH3.ext -> NH3,,25.7527,24.1274,27.0206,0.8736295794435613,0.8736295794435588
Transport,SO4t2,SO4.ext -> SO4,,0.4177,0.3913,0.4383,0.8736295794435613,0.8736295794435588
Biomass Equation,Growth or Growth_Phenol or Growth_Glucose,0.515*Ala + 0.174*Arg + 0.153*Asn + 0.439*Asp + 0.03*Cys + 0.314*Glu + 0.314*Gln + 0.399*Gly + 0.059*His + 0.155*Ile + 0.302*Leu + 0.181*Lys + 0.059*Met + 0.138*Phe + 0.147*Pro + 0.176*Ser + 0.201*Thr + 0.067*Tyr + 0.28*Val + 0.048*Trp + 9.035*AcCoA + 0.245*R5P + 0.325*MEETHF + 0.225*G6P + 0.071*F6P + 1.02*GAP + 0.43*3PG + 0.083*Pyr + 0.051*PEP + 0.087*AKG + 0.223*OAC + 33.25*ATP + 19.3*NADPH -> 39.68*Biomass + 1.455*NADH,,4.6934,4.3972,4.9245,11.300292659337275,11.300292659337275
